REFERENCIA ADG	LABORATORIO	REFERENCIA LABORATORIO	INGREDIENTES
MR1 			ALCOHOL DENAT, PARFUM (FRAGRANCE), AQUA (WATER), TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, LIMONENE, CITRUS LIMON PEEL OIL, LINALYLACETATE, LINALOOL, CITRUS AURANTIUM BERGAMIA PEEL OIL, PINENE, COUMARIN, ALPHAISOMETHYL IONONE, LAVANDULA OIL/EXTRACT, BENZOPHENONE-3, MENTHA VIRIDIS LEAF OIL, CITRAL, CARVONE, CITRUS AURANTIUM FLOWER OIL, ROSEKETONES,TERPINEOL, BHT, GERANYL ACETATE, SCLAREOL, BETACARYOPHYLLENE, TERPINOLENE, GERANIOL, ALPHA-TERPINENE, TRIMETHYLCYCLOPENTENYL METHYLISOPENTENOL, CITRONELLOL.
MR 2			ALCOHOL DENAT, PARFUM (FRAGRANCE), AQUA (WATER), EUGENOL, BENZOPHENONE-3, ISOEUGENOL, LIMONENE, BHT, LINALOOL, CITRAL.
MR 3			ALCOHOL DENAT, PARFUM (FRAGRANCE), AQUA (WATER), HYDROXYCITRONELLAL, LIMONENE, LINALOOL, COUMARIN, BENZOPHENONE-3, HEXYL CINNAMAL, ALPHA-ISOMETHYL IONONE, BENZYL BENZOATE, BHT, METHYL 2-OCTYNOATE, CITRAL, GERANIOL, CI 19140.
MR 4			ALCOHOL DENAT, PARFUM (FRAGRANCE), AQUA (WATER), LINALOOL, LIMONENE,GERANIOL, HYDROXYCITRONELLAL, BENZOPHENONE-3, COUMARIN, HEXYL, CINNAMAL, CITRONELLOL, BHT, CITRAL.
MR 5			ALCOHOL DENAT, PARFUM (FRAGRANCE), AQUA (WATER), COUMARIN, LIMONENE, BENZOPHENONE-3, HYDROXYCITRONELLAL, HEXYL CINNAMAL, CITRONELLOL, BHT.
MR 6			ALCOHOL DENAT, PARFUM (FRAGRANCE), AQUA (WATER), LINALOOL, LIMONENE, COUMARIN, ALPHA-ISOMETHYL IONONE, BENZOPHENONE-3, CITRAL, BHT, FARNESOL, CITRONELLOL, GERANIOL
MR 7			ALCOHOL DENAT, PARFUM (FRAGRANCE), AQUA (WATER), LIMONENE, BENZOPHENONE-3, CITRAL, BHT, EUGENOL, COUMARIN, LINALOOL, CI 19140.
MR 8			ALCOHOL DENAT,   FRAGRANCE (PARFUM), AQUA  (WATER), TETRAMETHYL   ACETYLOCTAHYDRONAPHTHALENES,  HEXAMETHYLINDANOPYRAN,  COUMARIN, LIMONENE, VANILLIN,  ALPHA-ISOMETHYL IONONE, LINALYL  ACETATE, PINENE, LINALOOL,  BENZOPHENONE-3, ROSE KETONES,  CINNAMAL, TERPINOLENE, BHT,  EUGENOL, ALPHA-TERPINENE,  TERPINEOL, BETA-CARYOPHYLLENE,  CITRAL, MENTHOL, GERANYL  ACETATE, ISOEUGENOL, GERANIOL,   CITRONELLOL, FARNESOL, CI 19140. 
MR 9	NATU		
MR 10			ALCOHOL DENAT,   FRAGRANCE (PARFUM), AQUA  (WATER), TETRAMETHYL   ACETYLOCTAHYDRONAPHTHALENES,  HEXAMETHYLINDANOPYRAN,  COUMARIN, LIMONENE, VANILLIN,  ALPHA-ISOMETHYL IONONE, LINALYL  ACETATE, PINENE, LINALOOL,  BENZOPHENONE-3, ROSE KETONES,  CINNAMAL, TERPINOLENE, BHT,  EUGENOL, ALPHA-TERPINENE,  TERPINEOL, BETA-CARYOPHYLLENE,  CITRAL, MENTHOL, GERANYL  ACETATE, ISOEUGENOL, GERANIOL,   CITRONELLOL, FARNESOL, CI 19140. 
